data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S,sst_uka,setting1,0,0.12988761067390442,0.22358372807502747,106,1,14,50,0.9122807017543859,0.8859521028037383,0.9803921568627451,0.78125,0.8695652173913043,0.8165251608938527
S,sst_umg,setting1,0,0.06642317771911621,0.35577937960624695,82,25,5,59,0.8245614035087719,0.8441150700934579,0.7023809523809523,0.921875,0.7972972972972973,0.6662178960289051
S,sst_ukk,setting1,0,0.10061123222112656,0.21952222287654877,101,6,12,52,0.8947368421052632,0.8782126168224299,0.896551724137931,0.8125,0.8524590163934426,0.7732050206832739
S,sst_ukl,setting1,0,0.19508513808250427,0.2678301930427551,98,9,4,60,0.9239766081871345,0.9266939252336448,0.8695652173913043,0.9375,0.9022556390977443,0.8417898796589818
S,sst_imise,setting1,0,0.16072838008403778,0.23606787621974945,104,3,6,58,0.9473684210526315,0.939106308411215,0.9508196721311475,0.90625,0.928,0.8871974560470782
S,sst_hsm,setting1,0,0.06771339476108551,0.23539109528064728,96,11,4,60,0.9122807017543859,0.9173481308411215,0.8450704225352113,0.9375,0.8888888888888888,0.8197495178901203
S,iil,setting1,0,0.12546856701374054,0.24540944397449493,96,11,1,63,0.9298245614035088,0.9407856308411215,0.8513513513513513,0.984375,0.9130434782608695,0.8610682443472155
S,Ciil,setting1,0,0.11603590101003647,0.22077366709709167,99,8,1,63,0.9473684210526315,0.9548043224299065,0.8873239436619719,0.984375,0.9333333333333333,0.8933204595762
S,sst_uka,setting1,1,0.12965506315231323,0.2240416258573532,105,2,14,50,0.9064327485380117,0.8812792056074766,0.9615384615384616,0.78125,0.8620689655172413,0.8021947938576122
S,sst_umg,setting1,1,0.06482963263988495,0.3379333019256592,84,23,1,63,0.8596491228070176,0.8847108644859814,0.7325581395348837,0.984375,0.84,0.7447107693276417
S,sst_ukk,setting1,1,0.09545111656188965,0.22587396204471588,101,6,12,52,0.8947368421052632,0.8782126168224299,0.896551724137931,0.8125,0.8524590163934426,0.7732050206832739
S,sst_ukl,setting1,1,0.204953134059906,0.2559053897857666,100,7,3,61,0.9415204678362573,0.9438522196261683,0.8970588235294118,0.953125,0.9242424242424242,0.8777628556809066
S,sst_imise,setting1,1,0.17220525443553925,0.24421145021915436,105,2,6,58,0.9532163742690059,0.9437792056074766,0.9666666666666667,0.90625,0.9354838709677419,0.8999983336124451
S,sst_hsm,setting1,1,0.07184544950723648,0.24290363490581512,95,12,4,60,0.9064327485380117,0.9126752336448598,0.8333333333333334,0.9375,0.8823529411764706,0.8089774795671997
S,iil,setting1,1,0.11829186975955963,0.2360721379518509,99,8,1,63,0.9473684210526315,0.9548043224299065,0.8873239436619719,0.984375,0.9333333333333333,0.8933204595762
S,Ciil,setting1,1,0.10908377170562744,0.2224983125925064,98,9,3,61,0.9298245614035088,0.9345064252336448,0.8714285714285714,0.953125,0.9104477611940298,0.8552604070986883
S,sst_uka,setting1,2,0.11472650617361069,0.20771923661231995,106,1,14,50,0.9122807017543859,0.8859521028037383,0.9803921568627451,0.78125,0.8695652173913043,0.8165251608938527
S,sst_umg,setting1,2,0.06437867879867554,0.3427934944629669,85,22,2,62,0.8596491228070176,0.881571261682243,0.7380952380952381,0.96875,0.8378378378378378,0.7387342933687796
S,sst_ukk,setting1,2,0.09739924222230911,0.21343229711055756,101,6,12,52,0.8947368421052632,0.8782126168224299,0.896551724137931,0.8125,0.8524590163934426,0.7732050206832739
S,sst_ukl,setting1,2,0.1981784850358963,0.25739750266075134,99,8,3,61,0.935672514619883,0.9391793224299065,0.8840579710144928,0.953125,0.9172932330827067,0.8664213083759028
S,sst_imise,setting1,2,0.20421528816223145,0.26347559690475464,104,3,6,58,0.9473684210526315,0.939106308411215,0.9508196721311475,0.90625,0.928,0.8871974560470782
S,sst_hsm,setting1,2,0.07697699218988419,0.24737180769443512,94,13,2,62,0.9122807017543859,0.9236273364485981,0.8266666666666667,0.96875,0.8920863309352518,0.8262844892910617
S,iil,setting1,2,0.12199852615594864,0.24708816409111023,98,9,1,63,0.9415204678362573,0.9501314252336448,0.875,0.984375,0.9264705882352942,0.8824037794642225
S,Ciil,setting1,2,0.11669871211051941,0.2370019257068634,97,10,2,62,0.9298245614035088,0.9376460280373832,0.8611111111111112,0.96875,0.9117647058823529,0.8579283461652149
S,sst_uka,setting1,3,0.12166521698236465,0.21787703037261963,105,2,14,50,0.9064327485380117,0.8812792056074766,0.9615384615384616,0.78125,0.8620689655172413,0.8021947938576122
S,sst_umg,setting1,3,0.06694716960191727,0.30848824977874756,87,20,2,62,0.8713450292397661,0.8909170560747663,0.7560975609756098,0.96875,0.8493150684931506,0.7573463932658505
S,sst_ukk,setting1,3,0.09016265720129013,0.21904300153255463,101,6,12,52,0.8947368421052632,0.8782126168224299,0.896551724137931,0.8125,0.8524590163934426,0.7732050206832739
S,sst_ukl,setting1,3,0.21442149579524994,0.25394055247306824,102,5,2,62,0.9590643274853801,0.9610105140186915,0.9253731343283582,0.96875,0.9465648854961832,0.9140472170602045
S,sst_imise,setting1,3,0.18371713161468506,0.24916709959506989,104,3,7,57,0.9415204678362573,0.931293808411215,0.95,0.890625,0.9193548387096774,0.8746775512748788
