data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S1000,sst_uka,setting1,0,0.16101767122745514,0.2543332576751709,97,10,2,62,0.9298245614035088,0.9376460280373832,0.8611111111111112,0.96875,0.9117647058823529,0.8579283461652149
S1000,sst_umg,setting1,0,0.08287934958934784,0.25461333990097046,97,10,7,57,0.9005847953216374,0.8985835280373832,0.8507462686567164,0.890625,0.8702290076335878,0.7902730056907914
S1000,sst_ukk,setting1,0,0.1108863428235054,0.22673964500427246,99,8,5,59,0.9239766081871345,0.9235543224299065,0.8805970149253731,0.921875,0.9007633587786259,0.8397826902385567
S1000,sst_ukl,setting1,0,0.20915916562080383,0.2719774842262268,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S1000,sst_imise,setting1,0,0.15112841129302979,0.22344696521759033,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,sst_hsm,setting1,0,0.08361143618822098,0.1973734349012375,102,5,6,58,0.935672514619883,0.9297605140186915,0.9206349206349206,0.90625,0.9133858267716536,0.8622957179569795
S1000,iil,setting1,0,0.13169866800308228,0.21278028190135956,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,Ciil,setting1,0,0.12957553565502167,0.21937532722949982,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S1000,sst_uka,setting1,1,0.15298232436180115,0.25070035457611084,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S1000,sst_umg,setting1,1,0.0843072310090065,0.23680531978607178,97,10,8,56,0.8947368421052632,0.8907710280373832,0.8484848484848485,0.875,0.8615384615384616,0.7769044546261238
S1000,sst_ukk,setting1,1,0.10329414159059525,0.22974808514118195,99,8,6,58,0.9181286549707602,0.9157418224299065,0.8787878787878788,0.90625,0.8923076923076924,0.8265496944396765
S1000,sst_ukl,setting1,1,0.21767452359199524,0.26841971278190613,97,10,2,62,0.9298245614035088,0.9376460280373832,0.8611111111111112,0.96875,0.9117647058823529,0.8579283461652149
S1000,sst_imise,setting1,1,0.1602359414100647,0.22883978486061096,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,sst_hsm,setting1,1,0.08885803818702698,0.1983066201210022,102,5,6,58,0.935672514619883,0.9297605140186915,0.9206349206349206,0.90625,0.9133858267716536,0.8622957179569795
S1000,iil,setting1,1,0.12129439413547516,0.2061082422733307,104,3,4,60,0.9590643274853801,0.954731308411215,0.9523809523809523,0.9375,0.9448818897637795,0.9123985272572321
S1000,Ciil,setting1,1,0.12425390630960464,0.2211272418498993,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S1000,sst_uka,setting1,2,0.1451527625322342,0.23281662166118622,96,11,2,62,0.9239766081871345,0.9329731308411215,0.8493150684931506,0.96875,0.9051094890510949,0.8472241945699198
S1000,sst_umg,setting1,2,0.0815199613571167,0.24628035724163055,96,11,7,57,0.8947368421052632,0.8939106308411215,0.8382352941176471,0.890625,0.8636363636363636,0.7789982902448579
S1000,sst_ukk,setting1,2,0.10555144399404526,0.22196435928344727,99,8,5,59,0.9239766081871345,0.9235543224299065,0.8805970149253731,0.921875,0.9007633587786259,0.8397826902385567
S1000,sst_ukl,setting1,2,0.21876707673072815,0.2635919749736786,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S1000,sst_imise,setting1,2,0.1927359700202942,0.24106071889400482,103,4,3,61,0.9590643274853801,0.9578709112149533,0.9384615384615385,0.953125,0.9457364341085271,0.9129464705674794
S1000,sst_hsm,setting1,2,0.09525153785943985,0.20294535160064697,102,5,8,56,0.9239766081871345,0.9141355140186915,0.9180327868852459,0.875,0.896,0.8367449236280392
S1000,iil,setting1,2,0.12630634009838104,0.21468783915042877,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,Ciil,setting1,2,0.13320079445838928,0.2340596467256546,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S1000,sst_uka,setting1,3,0.15480384230613708,0.24757497012615204,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S1000,sst_umg,setting1,3,0.08704408258199692,0.22215478122234344,99,8,7,57,0.9122807017543859,0.9079293224299065,0.8769230769230769,0.890625,0.8837209302325582,0.8133681918450816
S1000,sst_ukk,setting1,3,0.0996827632188797,0.22608225047588348,99,8,6,58,0.9181286549707602,0.9157418224299065,0.8787878787878788,0.90625,0.8923076923076924,0.8265496944396765
S1000,sst_ukl,setting1,3,0.23167820274829865,0.2636261284351349,100,7,2,62,0.9473684210526315,0.9516647196261683,0.8985507246376812,0.96875,0.9323308270676691,0.8910527370928237
S1000,sst_imise,setting1,3,0.16942892968654633,0.22861948609352112,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,sst_hsm,setting1,3,0.08954363316297531,0.2006705403327942,102,5,7,57,0.9298245614035088,0.9219480140186915,0.9193548387096774,0.890625,0.9047619047619048,0.8494967563093913
S1000,iil,setting1,3,0.1259244978427887,0.20584982633590698,103,4,5,59,0.9473684210526315,0.9422459112149533,0.9365079365079365,0.921875,0.9291338582677166,0.8873471226071058
S1000,Ciil,setting1,3,0.12672337889671326,0.2193971425294876,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S1000,sst_uka,setting2,0,0.11148914694786072,0.2336055189371109,100,7,9,55,0.9064327485380117,0.8969772196261683,0.8870967741935484,0.859375,0.873015873015873,0.7992237176075723
S1000,sst_umg,setting2,0,0.16067169606685638,0.3091863691806793,88,19,1,63,0.8830409356725146,0.9034024532710281,0.7682926829268293,0.984375,0.863013698630137,0.781535080835604
S1000,sst_ukk,setting2,0,0.29799458384513855,0.24813120067119598,101,6,3,61,0.9473684210526315,0.9485251168224299,0.9104477611940298,0.953125,0.9312977099236641,0.889292374786322
S1000,sst_ukl,setting2,0,0.12250787764787674,0.2189248502254486,102,5,2,62,0.9590643274853801,0.9610105140186915,0.9253731343283582,0.96875,0.9465648854961832,0.9140472170602045
S1000,sst_imise,setting2,0,0.1529788076877594,0.19708862900733948,102,5,3,61,0.9532163742690059,0.9531980140186915,0.9242424242424242,0.953125,0.9384615384615385,0.9010175541600056
S1000,sst_hsm,setting2,0,0.2676336169242859,0.38632532954216003,83,24,1,63,0.8538011695906432,0.8800379672897196,0.7241379310344828,0.984375,0.8344370860927153,0.7357657858753344
S1000,iil,setting2,0,0.32434460520744324,0.3454844057559967,86,21,1,63,0.8713450292397661,0.8940566588785046,0.75,0.984375,0.8513513513513513,0.7629064258154044
