epoch,loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
0.0,0.8450479507446289,0.7836441397666931,0.0,107.0,0.0,64.0,0.3742690058479532,0.5,0.3742690058479532,1.0,0.5446808510638298,
1.0,0.8071367144584656,0.7566160559654236,0.0,107.0,0.0,64.0,0.3742690058479532,0.5,0.3742690058479532,1.0,0.5446808510638298,
2.0,0.7745916843414307,0.7338272333145142,0.0,107.0,0.0,64.0,0.3742690058479532,0.5,0.3742690058479532,1.0,0.5446808510638298,
3.0,0.7467343807220459,0.7146665453910828,1.0,106.0,0.0,64.0,0.38011695906432746,0.5046728971962616,0.3764705882352941,1.0,0.5470085470085471,0.059316243243140276
4.0,0.7229269742965698,0.6985799074172974,5.0,102.0,1.0,63.0,0.39766081871345027,0.5155519859813084,0.38181818181818183,0.984375,0.5502183406113537,0.08180505299177586
5.0,0.7025872468948364,0.6850768327713013,19.0,88.0,4.0,60.0,0.4619883040935672,0.5575350467289719,0.40540540540540543,0.9375,0.5660377358490566,0.16321105269483652
6.0,0.6851962208747864,0.6737308502197266,54.0,53.0,7.0,57.0,0.6491228070175439,0.6976489485981308,0.5181818181818182,0.890625,0.6551724137931034,0.3993421206384172
7.0,0.670299232006073,0.6641762256622314,82.0,25.0,13.0,51.0,0.7777777777777778,0.7816150700934579,0.6710526315789473,0.796875,0.7285714285714285,0.5485284583557796
8.0,0.6575034260749817,0.6561028361320496,100.0,7.0,32.0,32.0,0.7719298245614035,0.7172897196261683,0.8205128205128205,0.5,0.6213592233009708,0.501223912142981
9.0,0.6464728713035583,0.6492502689361572,105.0,2.0,44.0,20.0,0.7309941520467836,0.6469042056074766,0.9090909090909091,0.3125,0.46511627906976744,0.42466026451461447
10.0,0.6369227170944214,0.6434006690979004,106.0,1.0,52.0,12.0,0.6900584795321637,0.5890771028037383,0.9230769230769231,0.1875,0.3116883116883117,0.32529526011266
11.0,0.6286128759384155,0.6383734941482544,107.0,0.0,57.0,7.0,0.6666666666666666,0.5546875,1.0,0.109375,0.19718309859154928,0.2671338958138464
12.0,0.6213417053222656,0.6340186595916748,107.0,0.0,61.0,3.0,0.6432748538011696,0.5234375,1.0,0.046875,0.08955223880597014,0.1727857364318181
13.0,0.6149402856826782,0.6302129626274109,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
14.0,0.6092679500579834,0.6268545985221863,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
15.0,0.6042069792747498,0.6238599419593811,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
16.0,0.5996590256690979,0.6211601495742798,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
17.0,0.5955426692962646,0.6186992526054382,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
18.0,0.591789186000824,0.6164308190345764,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
19.0,0.5883419513702393,0.614316999912262,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
20.0,0.5851529836654663,0.6123272776603699,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
21.0,0.5821828842163086,0.6104362607002258,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
22.0,0.5793981552124023,0.6086234450340271,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
23.0,0.5767706632614136,0.6068721413612366,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
24.0,0.5742771625518799,0.6051687598228455,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
25.0,0.5718981027603149,0.6035023927688599,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
