epoch,loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
0.0,0.7827603816986084,0.6713269948959351,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
1.0,0.7665456533432007,0.6676143407821655,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
2.0,0.7525563836097717,0.6650091409683228,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
3.0,0.7405040860176086,0.6632987856864929,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
4.0,0.7301256656646729,0.6622982621192932,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
5.0,0.7211849093437195,0.661848783493042,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
6.0,0.7134724259376526,0.6618162989616394,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
7.0,0.7068047523498535,0.6620889902114868,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
8.0,0.7010225057601929,0.662574827671051,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
9.0,0.6959887742996216,0.6631990671157837,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
10.0,0.6915857791900635,0.663901686668396,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
11.0,0.6877136826515198,0.6646351218223572,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
12.0,0.6842876672744751,0.6653626561164856,105.0,2.0,63.0,1.0,0.6198830409356725,0.49846670560747663,0.3333333333333333,0.015625,0.029850746268656716,-0.011303739766567539
13.0,0.6812357306480408,0.6660557985305786,105.0,2.0,61.0,3.0,0.631578947368421,0.5140917056074766,0.6,0.046875,0.08695652173913043,0.08095364108800046
14.0,0.6784977316856384,0.6666936278343201,105.0,2.0,55.0,9.0,0.6666666666666666,0.5609667056074766,0.8181818181818182,0.140625,0.24,0.24051837763427056
15.0,0.6760226488113403,0.6672605276107788,105.0,2.0,53.0,11.0,0.6783625730994152,0.5765917056074766,0.8461538461538461,0.171875,0.2857142857142857,0.27970059660506585
16.0,0.6737680435180664,0.6677461862564087,104.0,3.0,44.0,20.0,0.7251461988304093,0.642231308411215,0.8695652173913043,0.3125,0.45977011494252873,0.4034709779816517
17.0,0.6716981530189514,0.6681435704231262,101.0,6.0,35.0,29.0,0.7602339181286549,0.6985251168224299,0.8285714285714286,0.453125,0.5858585858585859,0.47623779132113353
18.0,0.669782817363739,0.6684489250183105,100.0,7.0,30.0,34.0,0.783625730994152,0.7329147196261683,0.8292682926829268,0.53125,0.6476190476190476,0.5280137142199116
19.0,0.6679973006248474,0.6686605215072632,95.0,12.0,22.0,42.0,0.8011695906432749,0.7720502336448598,0.7777777777777778,0.65625,0.711864406779661,0.5664624989887714
20.0,0.6663206219673157,0.668778657913208,89.0,18.0,15.0,49.0,0.8070175438596491,0.7987003504672897,0.7313432835820896,0.765625,0.7480916030534351,0.5922342674997303
21.0,0.6647353172302246,0.6688051223754883,82.0,25.0,13.0,51.0,0.7777777777777778,0.7816150700934579,0.6710526315789473,0.796875,0.7285714285714285,0.5485284583557796
22.0,0.6632267236709595,0.6687422394752502,79.0,28.0,9.0,55.0,0.783625730994152,0.7988463785046729,0.6626506024096386,0.859375,0.7482993197278912,0.5787346517685108
23.0,0.6617829203605652,0.6685935854911804,76.0,31.0,7.0,57.0,0.7777777777777778,0.8004526869158879,0.6477272727272727,0.890625,0.75,0.5818453681962916
24.0,0.6603935360908508,0.6683629751205444,70.0,37.0,6.0,58.0,0.7485380116959064,0.7802278037383177,0.6105263157894737,0.90625,0.7295597484276729,0.545826347723485
25.0,0.6590501666069031,0.6680545210838318,65.0,42.0,5.0,59.0,0.7251461988304093,0.7646758177570093,0.5841584158415841,0.921875,0.7151515151515152,0.5209744539964284
26.0,0.6577456593513489,0.6676727533340454,63.0,44.0,5.0,59.0,0.7134502923976608,0.755330023364486,0.5728155339805825,0.921875,0.7065868263473054,0.5049410604237754
